Fund,Date,Close Price
META,2020-07-31,253.1482
META,2020-06-30,226.6029
META,2020-05-29,224.6270
META,2020-04-30,204.2889
META,2020-03-31,166.4569
META,2020-02-28,192.0741
META,2020-01-31,201.4947
META,2019-12-31,204.8278
META,2019-11-29,201.2253
META,2019-10-31,191.2558
META,2019-09-30,177.7137
META,2019-08-30,185.2881
META,2019-07-31,193.8305
META,2019-06-28,192.6030
META,2019-05-31,177.1050
META,2019-04-30,193.0022
META,2019-03-29,166.3471
META,2019-02-28,161.1179
META,2019-01-31,166.3471
META,2018-12-31,130.8204
META,2018-11-30,140.3208
META,2018-10-31,151.4778
META,2018-09-28,164.1217
META,2018-08-31,175.3685
META,2018-07-31,172.2250
META,2018-06-29,193.9203
META,2018-05-31,191.3855
META,2018-04-30,171.6462
META,2018-03-29,159.4613
META,2018-02-28,177.9532
META,2018-01-31,186.5056
META,2017-12-29,176.0970
META,2017-11-30,176.8156
META,2017-10-31,179.6896
META,2017-09-29,170.5185
META,2017-08-31,171.6163
META,2017-07-31,168.9019
META,2017-06-30,150.6695
META,2017-05-31,151.1485
META,2017-04-28,149.9410
META,2017-03-31,141.7578
META,2017-02-28,135.2612
META,2017-01-31,130.0519
META,2016-12-30,114.8134
META,2016-11-30,118.1764
META,2016-10-31,130.7206
META,2016-09-30,128.0062
META,2016-08-31,125.8606
META,2016-07-29,123.6851
META,2016-06-30,114.0449
META,2016-05-31,118.5656
META,2016-04-29,117.3382
META,2016-03-31,113.8653
META,2016-02-29,106.7001
META,2016-01-29,111.9792
META,2015-12-31,104.4447
META,2015-11-30,104.0256
META,2015-10-30,101.7603
META,2015-09-30,89.5454
META,2015-08-31,89.2461
META,2015-07-31,93.8166
META,2015-06-30,85.5886
META,2015-05-29,79.0271
META,2015-04-30,78.6080
META,2015-03-31,82.0459
META,2015-02-27,78.8076
META,2015-01-30,75.7539
META,2014-12-31,77.8595
META,2014-11-28,77.5402
META,2014-10-31,74.8358
META,2014-09-30,78.8774
META,2014-08-29,74.6661
META,2014-07-31,72.5006
META,2014-06-30,67.1516
META,2014-05-30,63.1698
META,2014-04-30,59.6570
META,2014-03-31,60.1161
META,2014-02-28,68.3192
META,2014-01-31,62.4413
META,2013-12-31,54.5366
META,2013-11-29,46.9133
META,2013-10-31,50.1017
META,2013-09-30,50.1267
META,2013-08-30,41.2091
META,2013-07-31,36.7243
META,2013-06-28,24.8288
META,2013-05-31,24.2979
META,2013-04-30,27.7119
META,2013-03-28,25.5274
META,2013-02-28,27.1940
META,2013-01-31,30.9173
META,2012-12-31,26.5649
META,2012-11-30,27.9424
META,2012-10-31,21.0666
META,2012-09-28,21.6154
META,2012-08-31,18.0209
META,2012-07-31,21.6653
META,2012-06-29,31.0310
TSLA,2024-07-03,246.3900
TSLA,2024-06-28,197.8800
TSLA,2024-05-31,178.0800
TSLA,2024-04-30,183.2800
TSLA,2024-03-28,175.7900
TSLA,2024-02-29,201.8800
TSLA,2024-01-31,187.2900
TSLA,2023-12-29,248.4800
TSLA,2023-11-30,240.0800
TSLA,2023-10-31,200.8400
TSLA,2023-09-29,250.2200
TSLA,2023-08-31,258.0800
TSLA,2023-07-31,267.4300
TSLA,2023-06-30,261.7700
TSLA,2023-05-31,203.9300
TSLA,2023-04-28,164.3100
TSLA,2023-03-31,207.4600
TSLA,2023-02-28,205.7100
TSLA,2023-01-31,173.2200
TSLA,2022-12-30,123.1800
TSLA,2022-11-30,194.7000
TSLA,2022-10-31,227.5400
TSLA,2022-09-30,265.2500
TSLA,2022-08-31,275.6100
TSLA,2022-07-29,297.1500
TSLA,2022-06-30,224.4733
TSLA,2022-05-31,252.7533
TSLA,2022-04-29,290.2533
TSLA,2022-03-31,359.2000
TSLA,2022-02-28,290.1433
TSLA,2022-01-31,312.2400
TSLA,2021-12-31,352.2600
TSLA,2021-11-30,381.5867
TSLA,2021-10-29,371.3333
TSLA,2021-09-30,258.4933
TSLA,2021-08-31,245.2400
TSLA,2021-07-30,229.0667
TSLA,2021-06-30,226.5667
TSLA,2021-05-28,208.4067
TSLA,2021-04-30,236.4800
TSLA,2021-03-31,222.6433
TSLA,2021-02-26,225.1667
TSLA,2021-01-29,264.5100
TSLA,2020-12-31,235.2233
TSLA,2020-11-30,189.2000
TSLA,2020-10-30,129.3467
TSLA,2020-09-30,143.0033
TSLA,2020-08-31,166.1067
TSLA,2020-07-31,95.3840
TSLA,2020-06-30,71.9873
TSLA,2020-05-29,55.6667
TSLA,2020-04-30,52.1253
TSLA,2020-03-31,34.9333
TSLA,2020-02-28,44.5327
TSLA,2020-01-31,43.3713
TSLA,2019-12-31,27.8887
TSLA,2019-11-29,21.9960
TSLA,2019-10-31,20.9947
TSLA,2019-09-30,16.0580
TSLA,2019-08-30,15.0407
TSLA,2019-07-31,16.1073
TSLA,2019-06-28,14.8973
TSLA,2019-05-31,12.3440
TSLA,2019-04-30,15.9127
TSLA,2019-03-29,18.6573
TSLA,2019-02-28,21.3253
TSLA,2019-01-31,20.4680
TSLA,2018-12-31,22.1867
TSLA,2018-11-30,23.3653
TSLA,2018-10-31,22.4880
TSLA,2018-09-28,17.6513
TSLA,2018-08-31,20.1107
TSLA,2018-07-31,19.8760
TSLA,2018-06-29,22.8633
TSLA,2018-05-31,18.9820
TSLA,2018-04-30,19.5933
TSLA,2018-03-29,17.7420
TSLA,2018-02-28,22.8707
TSLA,2018-01-31,23.6207
TSLA,2017-12-29,20.7567
TSLA,2017-11-30,20.5900
TSLA,2017-10-31,22.1020
TSLA,2017-09-29,22.7400
TSLA,2017-08-31,23.7267
TSLA,2017-07-31,21.5647
TSLA,2017-06-30,24.1073
TSLA,2017-05-31,22.7340
TSLA,2017-04-28,20.9380
TSLA,2017-03-31,18.5533
TSLA,2017-02-28,16.6660
TSLA,2017-01-31,16.7953
TSLA,2016-12-30,14.2460
TSLA,2016-11-30,12.6267
TSLA,2016-10-31,13.1820
TSLA,2016-09-30,13.6020
TSLA,2016-08-31,14.1340
TSLA,2016-07-29,15.6527
TSLA,2016-06-30,14.1520
TSLA,2016-05-31,14.8820
TSLA,2016-04-29,16.0507
TSLA,2016-03-31,15.3180
TSLA,2016-02-29,12.7953
TSLA,2016-01-29,12.7467
TSLA,2015-12-31,16.0007
TSLA,2015-11-30,15.3507
TSLA,2015-10-30,13.7953
TSLA,2015-09-30,16.5600
TSLA,2015-08-31,16.6040
TSLA,2015-07-31,17.7433
TSLA,2015-06-30,17.8840
TSLA,2015-05-29,16.7200
TSLA,2015-04-30,15.0700
TSLA,2015-03-31,12.5847
TSLA,2015-02-27,13.5560
TSLA,2015-01-30,13.5733
TSLA,2014-12-31,14.8273
TSLA,2014-11-28,16.3013
TSLA,2014-10-31,16.1133
TSLA,2014-09-30,16.1787
TSLA,2014-08-29,17.9800
TSLA,2014-07-31,14.8867
TSLA,2014-06-30,16.0040
TSLA,2014-05-30,13.8513
TSLA,2014-04-30,13.8593
TSLA,2014-03-31,13.8967
TSLA,2014-02-28,16.3207
TSLA,2014-01-31,12.0940
TSLA,2013-12-31,10.0286
TSLA,2013-11-29,8.4853
TSLA,2013-10-31,10.6627
